Ativo;Horizonte;Regime;HitRate;Operacoes;ProfitFactor;PF_Folds_Mean;PF_Folds_Std;N_Folds;Instavel;Retorno_pct;MaxDrawdown;Sharpe;Capital_Final;Score;Valido;Selic_Focus;IPCA_Focus
ABEV3;D14;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
ABEV3;D28;LowVol;43.35;489;0.861;2.923;5.468;8;True;-16.07;-42.28;-0.721;83925.37;0.0;True;13.25;5.1
ABEV3;D28;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
ABEV3;D60;LowVol;53.27;214;30.559;51.243;68.588;4;True;180.77;-5.84;6.149;280767.43;32.756;True;13.25;5.1
ABEV3;D60;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
LREN3;D5;LowVol;47.26;383;0.744;0.767;0.385;7;False;-12.96;-24.45;-1.096;87035.49;0.0;True;13.25;5.1
LREN3;D5;HighVol;20.0;5;;;;0;True;-0.3;-0.45;-7.421;99701.68;0.0;False;13.25;5.1
LREN3;D14;LowVol;40.79;478;0.698;0.965;1.076;9;True;-31.45;-41.43;-1.458;68550.07;0.0;True;13.25;5.1
LREN3;D14;HighVol;51.61;62;0.904;;;1;True;-0.41;-3.79;-0.676;99594.26;0.0;True;13.25;5.1
LREN3;D28;LowVol;52.11;403;1.059;1.482;1.564;7;True;;-52.58;0.359;;0.198;True;13.25;5.1
LREN3;D28;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
LREN3;D60;LowVol;43.99;366;1.502;7.939;13.748;7;True;;-64.2;2.003;;1.323;True;13.25;5.1
LREN3;D60;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
VIVT3;D5;LowVol;49.23;390;0.476;0.925;0.575;7;False;-5.19;-5.71;-2.022;94808.39;0.0;True;13.25;5.1
VIVT3;D5;HighVol;60.0;95;0.473;;;1;True;-7.56;-9.59;-3.795;92437.23;0.0;True;13.25;5.1
VIVT3;D14;LowVol;39.4;736;0.765;0.594;0.593;12;False;-10.85;-25.39;-0.837;89151.11;0.0;True;13.25;5.1
VIVT3;D14;HighVol;83.95;81;31.98;;;1;True;31.77;-0.77;11.286;131767.58;94.747;True;13.25;5.1
VIVT3;D28;LowVol;38.78;557;0.663;1.803;2.122;10;True;-16.99;-26.01;-1.302;83006.46;0.0;True;13.25;5.1
VIVT3;D28;HighVol;100.0;28;;;;0;True;4.56;0.0;38.211;104564.94;0.0;False;13.25;5.1
VIVT3;D60;LowVol;39.25;372;0.848;0.815;0.784;7;False;-19.72;-44.5;-0.983;80275.16;0.0;True;13.25;5.1
VIVT3;D60;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
GGBR4;D5;LowVol;52.63;570;0.792;1.287;0.908;10;False;-32.05;-38.22;-1.407;67950.03;0.0;True;13.25;5.1
GGBR4;D5;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
GGBR4;D14;LowVol;51.16;604;1.075;3.279;7.057;10;True;28.43;-53.7;0.444;128431.33;0.244;True;13.25;5.1
GGBR4;D14;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
GGBR4;D28;LowVol;42.84;747;0.974;13.326;39.735;14;True;-18.46;-86.21;-0.142;81536.31;0.0;True;13.25;5.1
GGBR4;D28;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
GGBR4;D60;LowVol;51.26;515;1.724;3.419;3.389;10;False;1339.54;-56.39;3.087;1439542.29;2.728;True;13.25;5.1
GGBR4;D60;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
